Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2020;TOTAL;Total ;6 320;5 955;6 538; 583
Lake Geneva;2020;SECTOR 2 PRODUCTION;Total ;6 533;6Top, upper,  middle management07;6 626;#WERT!
Lake Geneva;2020;Mining and quarrying;Total ;6 279;*;626Top, upper,  middle management;#WERT!
Lake Geneva;2020;Manufacturing/production of Goods;Total ;6 859;6Top, upper,  middle management54;7 099;#WERT!
Lake Geneva;2020;"Water supply; sewage and waste disposal";Total ;5 429;5 720;54Top, upper,  middle management5;#WERT!
Lake Geneva;2020;Construction ;Total ;6 207;589Top, upper,  middle management;6 224;#WERT!
Lake Geneva;2020;SECTOR 3 SERVICES ;Total ;62Top, upper,  middle management7;5 928;6 476; 548
Lake Geneva;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 867;5 378;6Top, upper,  middle management79;#WERT!
Lake Geneva;2020;Transportation and storage;Total ;5 770;562Top, upper,  middle management;5 789;#WERT!
Lake Geneva;2020;Hotels and restaurants;Total ;4 460;4 328;4 642; 314
Lake Geneva;2020;Information and communication;Total ;8 333;7 176;8 771;1 595
Lake Geneva;2020;Financial and insurance services;Total ;10 125;8 176;11 583;3 407
Lake Geneva;2020;Professional, scientific and technical services;Total ;7 973;7 196;8 506;1 310
Lake Geneva;2020;Other business services;Total ;5 375;4 942;5 524; 582
Lake Geneva;2020;Health and social work;Total ;6 122;6 000;6 560; 560
Lake Geneva;2020;Arts, entertainment and recreation;Total ;6 833;6 853;6 826;- 27
Lake Geneva;2020;Other service activities Other service activities;Total ;6 618;6 103;7 386;1 283
Lake Geneva;2020;TOTAL;Top, upper,  middle management;10 712;9 176;11 419;2 243
Lake Geneva;2020;SECTOR 2 PRODUCTION;Top, upper,  middle management;10 055;9 357;10 229; 872
Lake Geneva;2020;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
Lake Geneva;2020;Manufacturing/production of Goods;Top, upper,  middle management;11 719;10 940;11 798; 858
Lake Geneva;2020;"Water supply; sewage and waste disposal";Top, upper,  middle management;10 711;*;*;#WERT!
Lake Geneva;2020;Construction ;Top, upper,  middle management;8 749;7 805;8 791; 986
Lake Geneva;2020;SECTOR 3 SERVICES ;Top, upper,  middle management;10 860;9 150;11 914;2 764
Lake Geneva;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;10 682;9 660;11 182;1 522
Lake Geneva;2020;Transportation and storage;Top, upper,  middle management;7 362;4 964;8 530;3 566
Lake Geneva;2020;Hotels and restaurants;Top, upper,  middle management;6 158;5 736;6 287; 551
Lake Geneva;2020;Information and communication;Top, upper,  middle management;11 113;8 889;11 458;2 569
Lake Geneva;2020;Financial and insurance services;Top, upper,  middle management;17 524;14 079;18 927;4 848
Lake Geneva;2020;Professional, scientific and technical services;Top, upper,  middle management;13 199;10 831;14 000;3 169
Lake Geneva;2020;Other business services;Top, upper,  middle management;9 700;9 218;9 849; 631
Lake Geneva;2020;Health and social work;Top, upper,  middle management;9 362;8 785;10 067;1 282
Lake Geneva;2020;Arts, entertainment and recreation;Top, upper,  middle management;9 206;8 289;9 718;1 429
Lake Geneva;2020;Other service activities Other service activities;Top, upper,  middle management;9 252;8 577;10 010;1 433
Lake Geneva;2020;TOTAL;Lower management;9 334;8 957;9 583; 626
Lake Geneva;2020;SECTOR 2 PRODUCTION;Lower management;9 461;10 786;9 212;-1 574
Lake Geneva;2020;Mining and quarrying;Lower management;*;*;*;#WERT!
Lake Geneva;2020;Manufacturing/production of Goods;Lower management;10 318;11 400;10 056;-1 344
Lake Geneva;2020;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
Lake Geneva;2020;Construction ;Lower management;7 490;*;7 558;#WERT!
Lake Geneva;2020;SECTOR 3 SERVICES ;Lower management;9 288;8 736;9 729; 993
Lake Geneva;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;9 851;8 741;10 883;2 142
Lake Geneva;2020;Transportation and storage;Lower management;7 648;7 550;7 812; 262
Lake Geneva;2020;Hotels and restaurants;Lower management;5 672;5 297;6 086; 789
Lake Geneva;2020;Information and communication;Lower management;10 018;8 856;10 562;1 706
Lake Geneva;2020;Financial and insurance services;Lower management;11 943;11 407;12 193; 786
Lake Geneva;2020;Professional, scientific and technical services;Lower management;9 414;9 647;9 371;- 276
Lake Geneva;2020;Other business services;Lower management;6 341;7 465;6 062;-1 403
Lake Geneva;2020;Health and social work;Lower management;7 797;7 640;8 160; 520
Lake Geneva;2020;Arts, entertainment and recreation;Lower management;9 483;9 369;9 953; 584
Lake Geneva;2020;Other service activities Other service activities;Lower management;8 259;8 078;8 508; 430
Lake Geneva;2020;TOTAL;Lowest management;7 251;7 028;7 367; 339
Lake Geneva;2020;SECTOR 2 PRODUCTION;Lowest management;7 372;7 691;7 360;- 331
Lake Geneva;2020;Mining and quarrying;Lowest management;*;-;*;#WERT!
Lake Geneva;2020;Manufacturing/production of Goods;Lowest management;7 720;8 231;7 590;- 641
Lake Geneva;2020;"Water supply; sewage and waste disposal";Lowest management;*;*;*;#WERT!
Lake Geneva;2020;Construction ;Lowest management;7 085;6 738;7 110; 372
Lake Geneva;2020;SECTOR 3 SERVICES ;Lowest management;7 186;6 944;7 400; 456
Lake Geneva;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 824;6 708;6 864; 156
Lake Geneva;2020;Transportation and storage;Lowest management;6 103;5 988;6 298; 310
Lake Geneva;2020;Hotels and restaurants;Lowest management;5 010;4 779;5 157; 378
Lake Geneva;2020;Information and communication;Lowest management;8 564;7 551;8 800;1 249
Lake Geneva;2020;Financial and insurance services;Lowest management;10 096;8 832;10 952;2 120
Lake Geneva;2020;Professional, scientific and technical services;Lowest management;7 966;7 315;8 134; 819
Lake Geneva;2020;Other business services;Lowest management;5 752;5 570;5 811; 241
Lake Geneva;2020;Health and social work;Lowest management;6 828;6 817;6 840; 23
Lake Geneva;2020;Arts, entertainment and recreation;Lowest management;7 370;7 885;7 085;- 800
Lake Geneva;2020;Other service activities Other service activities;Lowest management;7 027;7 000;7 190; 190
Lake Geneva;2020;TOTAL;No management;5 723;5 454;5 856; 402
Lake Geneva;2020;SECTOR 2 PRODUCTION;No management;6 095;5 671;6 188; 517
Lake Geneva;2020;Mining and quarrying;No management;6 044;*;6 044;#WERT!
Lake Geneva;2020;Manufacturing/production of Goods;No management;6 262;5 650;6 502; 852
Lake Geneva;2020;"Water supply; sewage and waste disposal";No management;5 256;5 536;5 240;- 296
Lake Geneva;2020;Construction ;No management;5 966;5 654;5 994; 340
Lake Geneva;2020;SECTOR 3 SERVICES ;No management;5 521;5 416;5 606; 190
