Year;Region;Industry;professional position category;Gross Pay Total ;Gross Pay Women ;Gross Pay Men ;Gender Pay Gap;;;;;;;;;;;
2020;Lake Geneva;TOTAL;Total ;6 731;6 544;6 866; 322;;;;;;;;;;;
2020;Lake Geneva;SECTOR 2 PRODUCTION;Total ;6 591;6 159;6 673; 514;;;;;;;;;;;
2020;Lake Geneva;Mining and quarrying;Total ;6 279;*;6 261;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Manufacturing/production of Goods;Total ;6 859;6 154;7 099; 945;;;;;;;;;;;
2020;Lake Geneva;"Water supply; sewage and waste disposal";Total ;6 028;6 469;6 005;- 464;;;;;;;;;;;
2020;Lake Geneva;Construction ;Total ;6 220;5 892;6 234; 342;;;;;;;;;;;
2020;Lake Geneva;SECTOR 3 SERVICES ;Total ;6 796;6 592;7 000; 408;;;;;;;;;;;
2020;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 868;5 377;6 179; 802;;;;;;;;;;;
2020;Lake Geneva;Transportation and storage;Total ;6 078;5 931;6 123; 192;;;;;;;;;;;
2020;Lake Geneva;Hotels and restaurants;Total ;4 463;4 328;4 642; 314;;;;;;;;;;;
2020;Lake Geneva;Information and communication;Total ;8 424;7 226;8 876;1 650;;;;;;;;;;;
2020;Lake Geneva;Financial and insurance services;Total ;9 981;8 076;11 333;3 257;;;;;;;;;;;
2020;Lake Geneva;Professional, scientific and technical services;Total ;7 984;7 196;8 506;1 310;;;;;;;;;;;
2020;Lake Geneva;Other business services;Total ;5 463;4 986;5 622; 636;;;;;;;;;;;
2020;Lake Geneva;Health and social work;Total ;6 758;6 580;7 267; 687;;;;;;;;;;;
2020;Lake Geneva;Arts, entertainment and recreation;Total ;7 192;7 164;7 221; 57;;;;;;;;;;;
2020;Lake Geneva;Other service activities Other service activities;Total ;6 668;6 150;7 429;1 279;;;;;;;;;;;
2020;Lake Geneva;TOTAL;Top, upper,  middle management;11 200;9 905;11 758;1 853;;;;;;;;;;;
2020;Lake Geneva;SECTOR 2 PRODUCTION;Top, upper,  middle management;10 300;9 571;10 424; 853;;;;;;;;;;;
2020;Lake Geneva;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Manufacturing/production of Goods;Top, upper,  middle management;11 719;10 940;11 798; 858;;;;;;;;;;;
2020;Lake Geneva;"Water supply; sewage and waste disposal";Top, upper,  middle management;11 113;*;11 663;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Construction ;Top, upper,  middle management;8 749;7 805;8 791; 986;;;;;;;;;;;
2020;Lake Geneva;SECTOR 3 SERVICES ;Top, upper,  middle management;11 447;9 987;12 164;2 177;;;;;;;;;;;
2020;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;10 682;9 660;11 182;1 522;;;;;;;;;;;
2020;Lake Geneva;Transportation and storage;Top, upper,  middle management;7 823;5 050;8 824;3 774;;;;;;;;;;;
2020;Lake Geneva;Hotels and restaurants;Top, upper,  middle management;6 158;5 736;6 291; 555;;;;;;;;;;;
2020;Lake Geneva;Information and communication;Top, upper,  middle management;11 213;8 941;11 503;2 562;;;;;;;;;;;
2020;Lake Geneva;Financial and insurance services;Top, upper,  middle management;17 016;13 889;18 218;4 329;;;;;;;;;;;
2020;Lake Geneva;Professional, scientific and technical services;Top, upper,  middle management;13 210;10 831;14 004;3 173;;;;;;;;;;;
2020;Lake Geneva;Other business services;Top, upper,  middle management;9 580;9 343;9 633; 290;;;;;;;;;;;
2020;Lake Geneva;Health and social work;Top, upper,  middle management;11 504;10 483;12 515;2 032;;;;;;;;;;;
2020;Lake Geneva;Arts, entertainment and recreation;Top, upper,  middle management;10 140;9 511;10 527;1 016;;;;;;;;;;;
2020;Lake Geneva;Other service activities Other service activities;Top, upper,  middle management;9 290;8 599;10 010;1 411;;;;;;;;;;;
2020;Lake Geneva;TOTAL;Lower management;9 402;8 968;9 688; 720;;;;;;;;;;;
2020;Lake Geneva;SECTOR 2 PRODUCTION;Lower management;9 577;10 642;9 370;-1 272;;;;;;;;;;;
2020;Lake Geneva;Mining and quarrying;Lower management;*;*;*;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Manufacturing/production of Goods;Lower management;10 318;11 400;10 056;-1 344;;;;;;;;;;;
2020;Lake Geneva;"Water supply; sewage and waste disposal";Lower management;8 514;*;8 686;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Construction ;Lower management;7 685;7 394;7 726; 332;;;;;;;;;;;
2020;Lake Geneva;SECTOR 3 SERVICES ;Lower management;9 370;8 828;9 800; 972;;;;;;;;;;;
2020;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;9 851;8 741;10 883;2 142;;;;;;;;;;;
2020;Lake Geneva;Transportation and storage;Lower management;7 814;8 065;7 814;- 251;;;;;;;;;;;
2020;Lake Geneva;Hotels and restaurants;Lower management;5 672;5 297;6 086; 789;;;;;;;;;;;
2020;Lake Geneva;Information and communication;Lower management;10 028;8 856;10 585;1 729;;;;;;;;;;;
2020;Lake Geneva;Financial and insurance services;Lower management;11 680;11 075;12 023; 948;;;;;;;;;;;
2020;Lake Geneva;Professional, scientific and technical services;Lower management;9 436;9 647;9 386;- 261;;;;;;;;;;;
2020;Lake Geneva;Other business services;Lower management;6 700;7 128;6 615;- 513;;;;;;;;;;;
2020;Lake Geneva;Health and social work;Lower management;8 733;8 408;9 185; 777;;;;;;;;;;;
2020;Lake Geneva;Arts, entertainment and recreation;Lower management;9 358;9 125;9 718; 593;;;;;;;;;;;
2020;Lake Geneva;Other service activities Other service activities;Lower management;8 271;8 075;8 508; 433;;;;;;;;;;;
2020;Lake Geneva;TOTAL;Lowest management;7 385;7 149;7 511; 362;;;;;;;;;;;
2020;Lake Geneva;SECTOR 2 PRODUCTION;Lowest management;7 386;7 673;7 367;- 306;;;;;;;;;;;
2020;Lake Geneva;Mining and quarrying;Lowest management;*;-;*;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Manufacturing/production of Goods;Lowest management;7 720;8 231;7 590;- 641;;;;;;;;;;;
2020;Lake Geneva;"Water supply; sewage and waste disposal";Lowest management;6 771;*;6 786;#WERT!;;;;;;;;;;;
2020;Lake Geneva;Construction ;Lowest management;7 100;6 738;7 134; 396;;;;;;;;;;;
2020;Lake Geneva;SECTOR 3 SERVICES ;Lowest management;7 384;7 103;7 624; 521;;;;;;;;;;;
2020;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 823;6 707;6 864; 157;;;;;;;;;;;
2020;Lake Geneva;Transportation and storage;Lowest management;7 559;6 808;7 677; 869;;;;;;;;;;;
2020;Lake Geneva;Hotels and restaurants;Lowest management;5 010;4 779;5 157; 378;;;;;;;;;;;
2020;Lake Geneva;Information and communication;Lowest management;8 571;7 551;8 870;1 319;;;;;;;;;;;
2020;Lake Geneva;Financial and insurance services;Lowest management;9 934;8 832;10 809;1 977;;;;;;;;;;;
2020;Lake Geneva;Professional, scientific and technical services;Lowest management;7 986;7 322;8 141; 819;;;;;;;;;;;
2020;Lake Geneva;Other business services;Lowest management;5 900;5 466;6 005; 539;;;;;;;;;;;
2020;Lake Geneva;Health and social work;Lowest management;6 916;6 805;7 131; 326;;;;;;;;;;;
