Region;Year;Professional groups;Age Group;Total ;Women;Men;Gender Pay Gap;;;;;;;;
Lake Geneva;2020;Total ;total ;6 731;6 544;6 866; 322;;;;;;;;
Lake Geneva;2020;Executives;total ;10 220;9 168;10 930;1 762;;;;;;;;
Lake Geneva;2020;Managing directors, board members, senior administrative staff and legislative bodies;total ;11 584;10 144;11 966;1 822;;;;;;;;
Lake Geneva;2020;Managers in the commercial sector;total ;9 697;8 394;11 019;2 625;;;;;;;;
Lake Geneva;2020;Managers in production and specialized services;total ;9 976;9 892;10 008; 116;;;;;;;;
Lake Geneva;2020;Managers in hotels, restaurants, retail and other services services;total ;6 287;5 436;6 400; 964;;;;;;;;
Lake Geneva;2020;Intellectual and scientific professions;total ;8 556;8 170;9 085; 915;;;;;;;;
Lake Geneva;2020;Scientists, mathematicians and engineers;total ;8 408;7 222;8 763;1 541;;;;;;;;
Lake Geneva;2020;Specialists in health professions;total ;7 854;7 749;8 186; 437;;;;;;;;
Lake Geneva;2020;Teachers;total ;9 343;8 949;10 531;1 582;;;;;;;;
Lake Geneva;2020;Business economists and similar specialists;total ;9 371;8 785;9 999;1 214;;;;;;;;
Lake Geneva;2020;Specialists in information and communication technology;total ;9 167;8 748;9 287; 539;;;;;;;;
Lake Geneva;2020;Lawyers, social scientists and cultural professions;total ;8 809;8 608;9 290; 682;;;;;;;;
Lake Geneva;2020;Technicians and equivalent non-technical professions;total ;7 168;6 672;7 582; 910;;;;;;;;
Lake Geneva;2020;Engineering and comparable specialists;total ;7 186;6 790;7 305; 515;;;;;;;;
Lake Geneva;2020;Assistant professions in the healthcare sector;total ;5 954;5 845;6 487; 642;;;;;;;;
Lake Geneva;2020;Business management and commercial specialists and administrative specialists;total ;7 795;7 356;8 557;1 201;;;;;;;;
Lake Geneva;2020;Legal, social, cultural and related professionals;total ;6 680;6 593;6 778; 185;;;;;;;;
Lake Geneva;2020;Information and communication technicians;total ;7 514;6 805;7 637; 832;;;;;;;;
Lake Geneva;2020;Office workers and related professions;total ;6 117;6 190;5 980;- 210;;;;;;;;
Lake Geneva;2020;General office and secretarial staff;total ;6 432;6 376;6 659; 283;;;;;;;;
Lake Geneva;2020;Office staff with customer contact;total ;5 540;5 475;5 686; 211;;;;;;;;
Lake Geneva;2020;Office staff in finance and accounting, statistics and materials management;total ;5 662;5 987;5 554;- 433;;;;;;;;
Lake Geneva;2020;Other office workers and related occupations;total ;6 134;5 944;6 411; 467;;;;;;;;
Lake Geneva;2020;Service professions and salespersons;total ;4 915;4 745;5 149; 404;;;;;;;;
Lake Geneva;2020;Occupations in the field of personal services;total ;4 665;4 481;4 889; 408;;;;;;;;
Lake Geneva;2020;Sales staff;total ;4 663;4 482;5 070; 588;;;;;;;;
Lake Geneva;2020;Caring professions;total ;5 253;5 253;5 252;- 1;;;;;;;;
Lake Geneva;2020;Protection and security workers;total ;5 471;5 240;5 529; 289;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture, forestry and fishing;total ;5 678;5 704;5 670;- 34;;;;;;;;
Lake Geneva;2020;Skilled workers in agriculture;total ;5 665;5 704;5 657;- 47;;;;;;;;
Lake Geneva;2020;Craft and related trades;total ;5 923;5 167;5 965; 798;;;;;;;;
Lake Geneva;2020;Construction and finishing workers and related occupations, excl. Electricians;total ;5 958;5 375;5 966; 591;;;;;;;;
Lake Geneva;2020;Metalworkers, mechanics, polymechanics, production mechanics and related occupations;total ;6 090;5 061;6 116;1 055;;;;;;;;
Lake Geneva;2020;Precision craftsmen and women, printers and artisans;total ;6 032;5 327;6 494;1 167;;;;;;;;
Lake Geneva;2020;Electricians and electronics technicians;total ;5 913;5 415;5 950; 535;;;;;;;;
Lake Geneva;2020;Food processing, clothing production and related skilled trades;total ;4 889;4 823;4 931; 108;;;;;;;;
