Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Lake Geneva;2020;Total;Total;Median;6 320;5 955;6 538; 583
Lake Geneva;2020;Total;Total;1 Quantile;5 027;4 675;5 281; 606
Lake Geneva;2020;Total;Total;3 Quantile;8 537;7 962;8 978;1 016
Lake Geneva;2020;Swiss;Total;Median;6 705;6 188;7 148; 960
Lake Geneva;2020;Swiss;Total;1 Quantile;5 283;4 928;5 617; 689
Lake Geneva;2020;Swiss;Total;3 Quantile;9 000;8 038;9 858;1 820
Lake Geneva;2020;Other;Total;Median;6 007;5 619;6 143; 524
Lake Geneva;2020;Other;Total;1 Quantile;4 816;4 399;5 069; 670
Lake Geneva;2020;Other;Total;3 Quantile;8 046;7 853;8 171; 318
Lake Geneva;2020;Total;Top, upper,  middle management;Median;10 712;9 176;11 419;2 243
Lake Geneva;2020;Total;Top, upper,  middle management;1 Quantile;7 301;6 341;7 734;1 393
Lake Geneva;2020;Total;Top, upper,  middle management;3 Quantile;16 746;14 140;17 851;3 711
Lake Geneva;2020;Swiss;Top, upper,  middle management;Median;10 362;8 785;11 050;2 265
Lake Geneva;2020;Swiss;Top, upper,  middle management;1 Quantile;7 335;6 308;7 749;1 441
Lake Geneva;2020;Swiss;Top, upper,  middle management;3 Quantile;15 471;12 379;16 660;4 281
Lake Geneva;2020;Other;Top, upper,  middle management;Median;11 590;10 122;11 998;1 876
Lake Geneva;2020;Other;Top, upper,  middle management;1 Quantile;7 221;6 469;7 674;1 205
Lake Geneva;2020;Other;Top, upper,  middle management;3 Quantile;18 991;16 562;20 219;3 657
Lake Geneva;2020;Total;Lower management;Median;9 334;8 957;9 583; 626
Lake Geneva;2020;Total;Lower management;1 Quantile;7 108;6 840;7 247; 407
Lake Geneva;2020;Total;Lower management;3 Quantile;12 539;11 943;12 957;1 014
Lake Geneva;2020;Swiss;Lower management;Median;9 063;8 540;9 436; 896
Lake Geneva;2020;Swiss;Lower management;1 Quantile;7 000;6 571;7 334; 763
Lake Geneva;2020;Swiss;Lower management;3 Quantile;12 192;11 255;12 641;1 386
Lake Geneva;2020;Other;Lower management;Median;9 647;9 441;9 719; 278
Lake Geneva;2020;Other;Lower management;1 Quantile;7 193;7 212;7 185;- 27
Lake Geneva;2020;Other;Lower management;3 Quantile;12 959;12 486;13 287; 801
Lake Geneva;2020;Total;Lowest management;Median;7 251;7 028;7 367; 339
Lake Geneva;2020;Total;Lowest management;1 Quantile;5 763;5 375;5 989; 614
Lake Geneva;2020;Total;Lowest management;3 Quantile;9 419;9 165;9 597; 432
Lake Geneva;2020;Swiss;Lowest management;Median;7 395;6 997;7 655; 658
Lake Geneva;2020;Swiss;Lowest management;1 Quantile;5 952;5 557;6 249; 692
Lake Geneva;2020;Swiss;Lowest management;3 Quantile;9 412;8 917;9 701; 784
Lake Geneva;2020;Other;Lowest management;Median;7 077;7 072;7 079; 7
Lake Geneva;2020;Other;Lowest management;1 Quantile;5 540;5 158;5 750; 592
Lake Geneva;2020;Other;Lowest management;3 Quantile;9 482;9 497;9 468;- 29
Lake Geneva;2020;Total;No management;Median;5 723;5 454;5 856; 402
Lake Geneva;2020;Total;No management;1 Quantile;4 739;4 453;4 950; 497
Lake Geneva;2020;Total;No management;3 Quantile;7 010;6 914;7 080; 166
Lake Geneva;2020;Swiss;No management;Median;5 963;5 741;6 145; 404
Lake Geneva;2020;Swiss;No management;1 Quantile;4 936;4 746;5 137; 391
Lake Geneva;2020;Swiss;No management;3 Quantile;7 355;7 106;7 534; 428
Lake Geneva;2020;Other;No management;Median;5 556;5 123;5 710; 587
Lake Geneva;2020;Other;No management;1 Quantile;4 583;4 195;4 820; 625
Lake Geneva;2020;Other;No management;3 Quantile;6 714;6 630;6 760; 130
Lake Geneva;2018;Total;Total;Median;6 186;5 882;6 381; 499
Lake Geneva;2018;Total;Total;1 Quantile;4 903;4 600;5 120; 520
Lake Geneva;2018;Total;Total;3 Quantile;8 386;7 820;8 829;1 009
Lake Geneva;2018;Swiss;Total;Median;6 506;6 076;6 900; 824
Lake Geneva;2018;Swiss;Total;1 Quantile;5 174;4 841;5 454; 613
Lake Geneva;2018;Swiss;Total;3 Quantile;8 743;7 901;9 529;1 628
Lake Geneva;2018;Other;Total;Median;5 866;5 614;5 977; 363
Lake Geneva;2018;Other;Total;1 Quantile;4 695;4 333;4 875; 542
Lake Geneva;2018;Other;Total;3 Quantile;7 951;7 709;8 093; 384
Lake Geneva;2018;Total;Top, upper,  middle management;Median;10 700;8 984;11 505;2 521
Lake Geneva;2018;Total;Top, upper,  middle management;1 Quantile;7 393;6 465;7 871;1 406
Lake Geneva;2018;Total;Top, upper,  middle management;3 Quantile;16 190;13 437;17 423;3 986
Lake Geneva;2018;Swiss;Top, upper,  middle management;Median;10 244;8 469;11 011;2 542
Lake Geneva;2018;Swiss;Top, upper,  middle management;1 Quantile;7 246;6 338;7 843;1 505
Lake Geneva;2018;Swiss;Top, upper,  middle management;3 Quantile;14 819;12 166;16 007;3 841
Lake Geneva;2018;Other;Top, upper,  middle management;Median;11 985;10 200;12 792;2 592
Lake Geneva;2018;Other;Top, upper,  middle management;1 Quantile;7 619;6 771;7 931;1 160
Lake Geneva;2018;Other;Top, upper,  middle management;3 Quantile;18 521;15 575;19 796;4 221
Lake Geneva;2018;Total;Lower management;Median;9 070;8 522;9 401; 879
Lake Geneva;2018;Total;Lower management;1 Quantile;6 642;6 200;6 842; 642
Lake Geneva;2018;Total;Lower management;3 Quantile;12 164;11 486;12 500;1 014
Lake Geneva;2018;Swiss;Lower management;Median;8 770;8 023;9 278;1 255
Lake Geneva;2018;Swiss;Lower management;1 Quantile;6 614;6 150;6 987; 837
Lake Geneva;2018;Swiss;Lower management;3 Quantile;11 555;10 745;12 000;1 255
Lake Geneva;2018;Other;Lower management;Median;9 363;9 078;9 520; 442
Lake Geneva;2018;Other;Lower management;1 Quantile;6 674;6 397;6 770; 373
Lake Geneva;2018;Other;Lower management;3 Quantile;12 890;12 305;13 150; 845
Lake Geneva;2018;Total;Lowest management;Median;7 118;6 982;7 223; 241
Lake Geneva;2018;Total;Lowest management;1 Quantile;5 693;5 404;5 847; 443
Lake Geneva;2018;Total;Lowest management;3 Quantile;9 286;9 088;9 394; 306
Lake Geneva;2018;Swiss;Lowest management;Median;7 191;6 926;7 446; 520
Lake Geneva;2018;Swiss;Lowest management;1 Quantile;5 857;5 489;6 030; 541
Lake Geneva;2018;Swiss;Lowest management;3 Quantile;9 195;8 708;9 467; 759
Lake Geneva;2018;Other;Lowest management;Median;7 043;7 059;7 023;- 36
Lake Geneva;2018;Other;Lowest management;1 Quantile;5 503;5 204;5 618; 414
Lake Geneva;2018;Other;Lowest management;3 Quantile;9 398;9 544;9 288;- 256
Lake Geneva;2018;Total;No management;Median;5 582;5 405;5 678; 273
Lake Geneva;2018;Total;No management;1 Quantile;4 617;4 385;4 783; 398
Lake Geneva;2018;Total;No management;3 Quantile;6 898;6 833;6 939; 106
Lake Geneva;2018;Swiss;No management;Median;5 812;5 635;5 984; 349
Lake Geneva;2018;Swiss;No management;1 Quantile;4 834;4 646;4 996; 350
Lake Geneva;2018;Swiss;No management;3 Quantile;7 188;6 991;7 375; 384
Lake Geneva;2018;Other;No management;Median;5 393;5 106;5 511; 405
Lake Geneva;2018;Other;No management;1 Quantile;4 436;4 146;4 630; 484
Lake Geneva;2018;Other;No management;3 Quantile;6 600;6 596;6 602; 6
Lake Geneva;2016;Total;Total;Median;6 184 ;5 777 ;6 414 ; 637
