Year,Region,Industry,Professional Position Category,Gross Pay Total,Gross Pay Women,Gross Pay Men,Gender Pay Gap
2020,Lake Geneva,TOTAL,Total ,6731,6544,6866,322
2020,Lake Geneva,SECTOR 2 PRODUCTION,Total ,6591,6159,6673,514
2020,Lake Geneva,Mining and quarrying,Total ,6279,0,6261,6261
2020,Lake Geneva,Manufacturing of Goods,Total ,6859,6154,7099,945
2020,Lake Geneva,Waste disposal,Total ,6028,6469,6005,-464
2020,Lake Geneva,Construction ,Total ,6220,5892,6234,342
2020,Lake Geneva,SECTOR 3 SERVICES ,Total ,6796,6592,7000,408
2020,Lake Geneva,Wholesale and retail trade,Total ,5868,5377,6179,802
2020,Lake Geneva,Transportation and storage,Total ,6078,5931,6123,192
2020,Lake Geneva,Hotels and restaurants,Total ,4463,4328,4642,314
2020,Lake Geneva,Information and communication,Total ,8424,7226,8876,1650
2020,Lake Geneva,Financial and insurance services,Total ,9981,8076,11333,3257
2020,Lake Geneva,Professional services,Total ,7984,7196,8506,1310
2020,Lake Geneva,Other business services,Total ,5463,4986,5622,636
2020,Lake Geneva,Health and social work,Total ,6758,6580,7267,687
2020,Lake Geneva,Arts and recreation,Total ,7192,7164,7221,57
2020,Lake Geneva,Other service activities,Total ,6668,6150,7429,1279
2020,Lake Geneva,TOTAL,T/U/M Management,11200,9905,11758,1853
2020,Lake Geneva,SECTOR 2 PRODUCTION,T/U/M Management,10300,9571,10424,853
2020,Lake Geneva,Mining and quarrying,T/U/M Management,0,0,0,0
2020,Lake Geneva,Manufacturing of Goods,T/U/M Management,11719,10940,11798,858
2020,Lake Geneva,Waste disposal,T/U/M Management,11113,0,11663,11663
2020,Lake Geneva,Construction ,T/U/M Management,8749,7805,8791,986
2020,Lake Geneva,SECTOR 3 SERVICES ,T/U/M Management,11447,9987,12164,2177
2020,Lake Geneva,Wholesale and retail trade,T/U/M Management,10682,9660,11182,1522
2020,Lake Geneva,Transportation and storage,T/U/M Management,7823,5050,8824,3774
2020,Lake Geneva,Hotels and restaurants,T/U/M Management,6158,5736,6291,555
2020,Lake Geneva,Information and communication,T/U/M Management,11213,8941,11503,2562
2020,Lake Geneva,Financial and insurance services,T/U/M Management,17016,13889,18218,4329
2020,Lake Geneva,Professional services,T/U/M Management,13210,10831,14004,3173
2020,Lake Geneva,Other business services,T/U/M Management,9580,9343,9633,290
2020,Lake Geneva,Health and social work,T/U/M Management,11504,10483,12515,2032
2020,Lake Geneva,Arts and recreation,T/U/M Management,10140,9511,10527,1016
2020,Lake Geneva,Other service activities,T/U/M Management,9290,8599,10010,1411
2020,Lake Geneva,TOTAL,Lower management,9402,8968,9688,720
2020,Lake Geneva,SECTOR 2 PRODUCTION,Lower management,9577,10642,9370,-1272
2020,Lake Geneva,Mining and quarrying,Lower management,0,0,0,0
2020,Lake Geneva,Manufacturing of Goods,Lower management,10318,11400,10056,-1344
2020,Lake Geneva,Waste disposal,Lower management,8514,0,8686,8686
2020,Lake Geneva,Construction ,Lower management,7685,7394,7726,332
2020,Lake Geneva,SECTOR 3 SERVICES ,Lower management,9370,8828,9800,972
2020,Lake Geneva,Wholesale and retail trade,Lower management,9851,8741,10883,2142
2020,Lake Geneva,Transportation and storage,Lower management,7814,8065,7814,-251
2020,Lake Geneva,Hotels and restaurants,Lower management,5672,5297,6086,789
2020,Lake Geneva,Information and communication,Lower management,10028,8856,10585,1729
2020,Lake Geneva,Financial and insurance services,Lower management,11680,11075,12023,948
2020,Lake Geneva,Professional services,Lower management,9436,9647,9386,-261
2020,Lake Geneva,Other business services,Lower management,6700,7128,6615,-513
2020,Lake Geneva,Health and social work,Lower management,8733,8408,9185,777
2020,Lake Geneva,Arts and recreation,Lower management,9358,9125,9718,593
2020,Lake Geneva,Other service activities,Lower management,8271,8075,8508,433
2020,Lake Geneva,TOTAL,Lowest management,7385,7149,7511,362
2020,Lake Geneva,SECTOR 2 PRODUCTION,Lowest management,7386,7673,7367,-306
2020,Lake Geneva,Mining and quarrying,Lowest management,0,0,0,0
2020,Lake Geneva,Manufacturing of Goods,Lowest management,7720,8231,7590,-641
2020,Lake Geneva,Waste disposal,Lowest management,6771,0,6786,6786
2020,Lake Geneva,Construction ,Lowest management,7100,6738,7134,396
2020,Lake Geneva,SECTOR 3 SERVICES ,Lowest management,7384,7103,7624,521
2020,Lake Geneva,Wholesale and retail trade,Lowest management,6823,6707,6864,157
2020,Lake Geneva,Transportation and storage,Lowest management,7559,6808,7677,869
2020,Lake Geneva,Hotels and restaurants,Lowest management,5010,4779,5157,378
2020,Lake Geneva,Information and communication,Lowest management,8571,7551,8870,1319
2020,Lake Geneva,Financial and insurance services,Lowest management,9934,8832,10809,1977
2020,Lake Geneva,Professional services,Lowest management,7986,7322,8141,819
2020,Lake Geneva,Other business services,Lowest management,5900,5466,6005,539
2020,Lake Geneva,Health and social work,Lowest management,6916,6805,7131,326
2020,Lake Geneva,Arts and recreation,Lowest management,7582,7736,7367,-369
2020,Lake Geneva,Other service activities,Lowest management,7040,7002,7190,188
2020,Lake Geneva,TOTAL,No management,6092,6092,6092,0
2020,Lake Geneva,SECTOR 2 PRODUCTION,No management,6125,5701,6211,510
2020,Lake Geneva,Mining and quarrying,No management,6044,0,6044,6044
2020,Lake Geneva,Manufacturing of Goods,No management,6262,5650,6502,852
2020,Lake Geneva,Waste disposal,No management,5720,5970,5687,-283
2020,Lake Geneva,Construction ,No management,5974,5670,6003,333
2020,Lake Geneva,SECTOR 3 SERVICES ,No management,6074,6155,5999,-156
2020,Lake Geneva,Wholesale and retail trade,No management,5063,4804,5271,467
2020,Lake Geneva,Transportation and storage,No management,5671,5849,5639,-210
2020,Lake Geneva,Hotels and restaurants,No management,4282,4161,4333,172
2020,Lake Geneva,Information and communication,No management,7372,6631,7701,1070
2020,Lake Geneva,Financial and insurance services,No management,7143,6780,7835,1055
2020,Lake Geneva,Professional services,No management,6679,6480,6909,429
2020,Lake Geneva,Other business services,No management,5339,4842,5515,673
2020,Lake Geneva,Health and social work,No management,6478,6382,6758,376
2020,Lake Geneva,Arts and recreation,No management,6284,6411,6196,-215
2020,Lake Geneva,Other service activities,No management,5475,5000,6197,1197
2018,Lake Geneva,TOTAL,Total ,6600,6442,6720,278
2018,Lake Geneva,SECTOR 2 PRODUCTION,Total ,6453,6122,6514,392
2018,Lake Geneva,Mining and quarrying,Total ,6314,0,6306,6306
2018,Lake Geneva,Manufacturing of Goods,Total ,6683,5992,6930,938
2018,Lake Geneva,Waste disposal,Total ,6128,5716,6159,443
2018,Lake Geneva,Construction ,Total ,6086,6500,6053,-447
2018,Lake Geneva,SECTOR 3 SERVICES ,Total ,6667,6479,6888,409
2018,Lake Geneva,Wholesale and retail trade,Total ,5818,5302,6233,931
2018,Lake Geneva,Transportation and storage,Total ,5887,5850,5900,50
2018,Lake Geneva,Hotels and restaurants,Total ,4335,4222,4476,254
2018,Lake Geneva,Information and communication,Total ,8334,7070,8750,1680
2018,Lake Geneva,Financial and insurance services,Total ,9611,7965,11091,3126
2018,Lake Geneva,Professional services,Total ,8054,7164,8889,1725
2018,Lake Geneva,Other business services,Total ,5265,4979,5340,361
2018,Lake Geneva,Health and social work,Total ,6648,6461,7152,691
2018,Lake Geneva,Arts and recreation,Total ,7494,7334,7619,285
2018,Lake Geneva,Other service activities,Total ,6633,6066,7445,1379
